"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2328","ValidateTranscriptionistLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","296","ValidateToApplyFilter_Modality_CT","","2026-05-12","passed","2026-05-12","","DashboardTC/DashboardTC-1.spec.ts","",""
"","2294","ValidateGatekeeperLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2296","ValidateAdminLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2278","ValidateTechnicianLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2358","ValidatePGLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","1268","Login with Valid username and Invalid password","","2026-05-12","passed","2026-05-12","","LoginTC/LoginInputTest.spec.ts","",""
"","2766","ValidateDutyRadiologistLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2393","ValidateSonologistLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2313","ValidateWardUserLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2280","ValidateReferringDoctorLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","1367","Login with Invalid username and valid password","","2026-05-12","passed","2026-05-12","","LoginTC/LoginInputTest.spec.ts","",""
"","3538","ValidateHODLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","2219","Login with Valid username and password","","2026-05-12","passed","2026-05-12","","LoginTC/LoginInputTest.spec.ts","",""
"","1327","Login with Invalid username and Invalid password","","2026-05-12","passed","2026-05-12","","LoginTC/LoginInputTest.spec.ts","",""
"","2594","ValidateJuniorRadiologistLogin","","2026-05-12","passed","2026-05-12","","LoginTC/LoginRoleTests.spec.ts","",""
"","1398","Login with Whitespace in username and Valid password","","2026-05-12","passed","2026-05-12","","LoginTC/LoginInputTest.spec.ts","",""
